customer_id,timestamp,event_type,device,category
U0001,2025-01-27 23:23:00,add_to_cart,tablet,Stationery
U0001,2025-01-10 11:34:00,purchase,tablet,Office Supplies
U0001,2025-01-23 17:39:00,product_view,mobile,Computers
U0001,2025-01-19 15:29:00,add_to_cart,desktop,Electronics
U0001,2025-01-16 20:51:00,page_view,desktop,Furniture
U0001,2025-01-27 02:08:00,add_to_cart,mobile,Stationery
U0001,2025-01-07 01:26:00,product_view,tablet,Furniture
U0001,2025-01-01 02:50:00,page_view,tablet,Office Supplies
U0001,2025-01-23 01:25:00,checkout,mobile,Computers
U0001,2025-01-05 03:53:00,product_view,desktop,Electronics
U0002,2025-01-26 10:12:00,product_view,desktop,Office Supplies
U0002,2025-01-16 17:26:00,product_view,mobile,Stationery
U0002,2025-01-16 21:27:00,product_view,desktop,Electronics
U0002,2025-01-14 21:02:00,product_view,tablet,Furniture
U0002,2025-01-15 19:54:00,add_to_cart,tablet,Electronics
U0002,2025-01-18 22:17:00,checkout,mobile,Office Supplies
U0002,2025-01-21 11:33:00,product_view,desktop,Electronics
U0002,2025-01-29 09:01:00,page_view,tablet,Office Supplies
U0002,2025-01-20 15:35:00,checkout,mobile,Office Supplies
U0002,2025-01-23 00:42:00,add_to_cart,tablet,Stationery
U0003,2025-01-11 08:14:00,page_view,desktop,Computers
U0003,2025-01-18 22:23:00,product_view,mobile,Office Supplies
U0003,2025-01-17 15:40:00,page_view,desktop,Computers
U0003,2025-01-11 14:09:00,page_view,desktop,Stationery
U0003,2025-01-08 05:52:00,product_view,desktop,Electronics
U0003,2025-01-05 10:08:00,page_view,desktop,Stationery
U0003,2025-01-01 17:58:00,product_view,desktop,Electronics
U0003,2025-01-22 06:08:00,page_view,desktop,Office Supplies
U0003,2025-01-17 00:05:00,page_view,tablet,Electronics
U0003,2025-01-08 08:04:00,checkout,mobile,Furniture
U0004,2025-01-26 23:55:00,product_view,tablet,Furniture
U0004,2025-01-17 09:53:00,purchase,tablet,Stationery
U0004,2025-01-12 09:36:00,add_to_cart,tablet,Electronics
U0004,2025-01-28 19:30:00,page_view,mobile,Electronics
U0004,2025-01-04 20:14:00,page_view,desktop,Electronics
U0004,2025-01-30 02:34:00,checkout,desktop,Furniture
U0004,2025-01-04 07:22:00,page_view,mobile,Stationery
U0004,2025-01-21 13:04:00,purchase,mobile,Electronics
U0004,2025-01-02 06:40:00,page_view,tablet,Furniture
U0004,2025-01-05 15:26:00,checkout,tablet,Electronics
U0005,2025-01-15 22:21:00,product_view,desktop,Electronics
U0005,2025-01-15 18:55:00,add_to_cart,desktop,Office Supplies
U0005,2025-01-18 04:38:00,product_view,desktop,Stationery
U0005,2025-01-20 20:41:00,add_to_cart,desktop,Stationery
U0005,2025-01-10 09:02:00,checkout,tablet,Electronics
U0005,2025-01-11 17:30:00,page_view,tablet,Electronics
U0005,2025-01-27 05:31:00,add_to_cart,tablet,Computers
U0005,2025-01-28 20:22:00,page_view,tablet,Electronics
U0005,2025-01-01 11:31:00,checkout,desktop,Computers
U0005,2025-01-26 09:58:00,product_view,mobile,Computers
U0006,2025-01-07 19:00:00,product_view,desktop,Stationery
U0006,2025-01-28 17:28:00,product_view,tablet,Office Supplies
U0006,2025-01-16 08:46:00,product_view,tablet,Stationery
U0006,2025-01-19 00:27:00,page_view,tablet,Office Supplies
U0006,2025-01-04 20:23:00,page_view,mobile,Electronics
U0006,2025-01-30 02:30:00,page_view,desktop,Office Supplies
U0006,2025-01-14 01:48:00,product_view,desktop,Electronics
U0006,2025-01-30 11:23:00,product_view,mobile,Electronics
U0006,2025-01-05 00:24:00,product_view,mobile,Office Supplies
U0006,2025-01-18 06:47:00,page_view,mobile,Office Supplies
U0007,2025-01-06 13:34:00,page_view,mobile,Furniture
U0007,2025-01-19 13:00:00,page_view,mobile,Stationery
U0007,2025-01-30 22:15:00,page_view,mobile,Computers
U0007,2025-01-26 05:42:00,purchase,mobile,Computers
